VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,01/23/2020 02:37:00 AM,01/23/2020 03:09:00 AM,1,0.0,1,Y,245,393,1,43.87009489917836,0.0,0.5411076538743446,0.0,1.2230995126546893,0.3,12.767124241201664,2.5
1,01/23/2020 07:33:00 PM,01/23/2020 07:42:00 PM,3,4.791205697443516,1,N,225,179,1,15.35751465866299,2.1616618971730714,0.6002430246467654,1.2879746713291849,0.0,0.3,11.162495650354053,2.5
1,01/23/2020 03:53:00 PM,01/23/2020 04:09:00 PM,1,0.0,1,N,141,189,1,32.05997669310674,2.0161935325978675,0.47815191557993536,2.9847581841176347,3.2867418051055304,0.3,20.98466995277698,2.5
2,01/23/2020 01:24:00 PM,01/23/2020 02:16:00 PM,4,0.0,1,N,178,174,1,20.52151746592503,0.9254220225107687,0.4080541529720326,1.8543161193292117,1.1934983087075777,0.3,1.5946337179856656,2.5
1,01/23/2020 04:33:00 PM,01/23/2020 04:45:00 PM,2,0.0,1,N,118,154,1,24.204355892335716,3.6143841630453015,0.5421409844924957,7.913127551544557,0.0866185984869986,0.3,10.419600431749794,2.5
1,01/23/2020 01:25:00 PM,01/23/2020 01:45:00 PM,3,0.0,1,N,145,195,2,31.35431622095904,1.0742206408031842,0.38240159871633084,1.7548464552527285,0.0,0.3,2.6664275703116918,2.5
2,01/23/2020 03:43:00 PM,01/23/2020 04:14:00 PM,2,11.855416018814694,1,N,88,178,1,23.637652252914126,0.0,0.44013592436331794,0.0,0.0,0.3,20.901789274197085,2.5
1,01/23/2020 11:46:00 AM,01/23/2020 12:21:00 PM,4,0.0,1,N,107,101,3,4.992978631788503,1.7142728586603377,0.5694870857583806,7.320982536857296,1.4034768581940176,0.3,34.51432462702201,2.5
2,01/23/2020 05:01:00 PM,01/23/2020 05:56:00 PM,1,8.601523162669265,1,N,139,82,1,12.836844357409742,2.443496802254812,0.4920857139255001,0.0,0.0,0.3,21.51819597575682,2.5
1,01/23/2020 11:50:00 AM,01/23/2020 12:10:00 PM,2,2.6715413058039674,1,N,29,116,1,0.0,0.0,0.5830638458616508,6.342880618435189,2.5524652747985686,0.3,8.188553758215823,2.5
1,01/23/2020 05:55:00 AM,01/23/2020 06:04:00 AM,0,1.615410534456345,1,N,218,246,1,21.396681309139407,1.036166726320047,0.6142667300981809,8.042360696009723,0.0,0.3,14.682424619022424,2.5
2,01/23/2020 06:40:00 PM,01/23/2020 07:29:00 PM,1,5.42463613588918,1,N,106,177,1,7.074289421008924,0.7286856489829399,0.5062295231050481,0.0,0.0,0.3,30.580658313694727,2.5
2,01/23/2020 09:25:00 AM,01/23/2020 10:04:00 AM,1,0.0,1,N,167,181,2,21.618145648923395,0.0,0.42861309060914565,1.6135288944040416,0.82705130651333,0.3,33.96416885296341,2.5
2,01/23/2020 10:13:00 PM,01/23/2020 10:49:00 PM,1,11.545772007873477,1,N,102,251,1,18.112475048554963,2.414110069842603,0.5059096024329419,0.0,0.0,0.3,38.78860945934433,2.5
1,01/23/2020 09:50:00 AM,01/23/2020 09:58:00 AM,3,6.97126311583539,1,N,216,241,1,0.0,0.9518481735446905,0.44169627434540587,0.40020025294229056,5.552034562847293,0.3,54.06606285992859,2.5
1,01/23/2020 04:38:00 PM,01/23/2020 04:50:00 PM,0,9.271201926609379,1,N,164,196,1,30.312654654247698,2.6551048215516575,0.3945765277720535,1.7262103589446698,1.8602171596435557,0.3,6.004046900455066,2.5
1,01/23/2020 05:22:00 PM,01/23/2020 06:15:00 PM,1,0.0,1,N,162,216,1,2.103790915069524,1.740413420277096,0.45515888432695717,6.1988532063048165,0.0,0.3,5.44837593081442,2.5
1,01/23/2020 09:09:00 AM,01/23/2020 09:54:00 AM,1,1.7348702185152145,1,N,258,222,1,24.962030230915087,1.7107546484194063,0.5766502977915673,2.25903923341594,1.0981812894969498,0.3,0.20047048519543154,2.5
1,01/23/2020 06:04:00 PM,01/23/2020 06:11:00 PM,4,3.546928901545717,1,Y,154,144,1,6.9601380401998085,1.830980489963685,0.4692801500228505,0.0,5.735682863084007,0.3,17.321801923301187,2.5
1,01/23/2020 03:16:00 AM,01/23/2020 03:37:00 AM,1,6.971794771061326,1,N,129,54,1,21.08227856642195,1.5349782682490425,0.5232927076902807,1.2082883401741917,0.4541649003763002,0.3,21.00829532279037,2.5
